Name	Condition	Experiment	Fraction
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_17_02	H	H2	17
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_18_02	H	H2	18
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_19_02	H	H2	19
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_17_01	H	H1	17
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_18_01	H	H1	18
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_19_01	H	H1	19
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_20_03	L	L3	20
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_21_03	L	L3	21
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_22_03	L	L3	22
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_20_02	L	L2	20
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_21_02	L	L2	21
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_22_02	L	L2	22
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_20_01	L	L1	20
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_21_01	L	L1	21
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_22_01	L	L1	22
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_20_03	H	H3	20
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_21_03	H	H3	21
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_22_03	H	H3	22
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_20_02	H	H2	20
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_21_02	H	H2	21
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_22_02	H	H2	22
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_20_01	H	H1	20
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_21_01	H	H1	21
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_22_01	H	H1	22
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_23_03	L	L3	23
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_23_02	L	L2	23
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_23_01	L	L1	23
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_01	L	L1	24
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_02	L	L2	24
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_03	L	L3	24
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_23_03	H	H3	23
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_24_03	H	H3	24
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_23_02	H	H2	23
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_24_02	H	H2	24
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_23_01	H	H1	23
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_01	H	H1	24
